Date,Longitude,Latitude,MP
2006-07-01,-70.5,40.5,-3.230196882
2001-12-01,-125,-8,-3.230136697
2011-11-01,-65.5,17,-3.229678158
2008-06-01,-153.5,18.5,-3.223375286
2012-02-01,-79.5,25.5,-3.22184875
2012-08-01,-70,42.5,-3.22184875
2009-08-01,-71,40,-3.22184875
2009-09-01,-71,40,-3.22184875
1999-08-01,-67.5,42.5,-3.22184875
1998-07-01,-67.5,42,-3.22184875
2009-11-01,-61.5,14.5,-3.22184875
2009-05-01,-82,24,-3.221769056
2011-04-01,-76,18.5,-3.221515983
2007-03-01,-141.5,-5,-3.220333652
2008-10-01,-121,32,-3.217442669
2010-12-01,-79.5,16.5,-3.217434693
2005-12-01,-111,17,-3.216330773
2012-12-01,-70,20.5,-3.215174527
2012-10-01,-119.5,32,-3.212984366
2006-11-01,-111,17,-3.211829325
2011-03-01,-79.5,-33,-3.208515674
2010-08-01,-119.5,34,-3.207551828
2010-10-01,-133,14,-3.206137701
2010-03-01,-64,26.5,-3.204702941
2010-11-01,-156.5,7.5,-3.204467696
2008-04-01,-157,4,-3.203080169
2005-12-01,-115.5,14,-3.201578701
2007-02-01,-141,-9.5,-3.200756001
2012-11-01,-64.5,18,-3.200408138
2005-02-01,-140,-9,-3.198936656
2007-03-01,-142.5,-2.5,-3.198427799
2006-07-01,-126.5,49,-3.198157225
2012-03-01,-158.5,20,-3.197124527
2011-05-01,-161.5,11.5,-3.19707823
2002-04-01,-166,10.5,-3.19477172
2011-01-01,-150,-17.5,-3.19420428
2008-11-01,-110,17,-3.194117591
2009-04-01,-155,-6.5,-3.19381774
2012-02-01,-148.5,-15.5,-3.193044922
2005-07-01,-158,25.5,-3.191745563
2003-04-01,-145.5,8,-3.190975952
2005-04-01,-155.5,6,-3.188722434
2012-12-01,-79.5,20,-3.186807168
2001-11-01,-87,7.5,-3.18657328
2008-06-01,-155,20.5,-3.18656886
2008-12-01,-112.5,14.5,-3.185134048
2012-11-01,-156,4,-3.18453194
2002-12-01,-129,5.5,-3.18453194
2002-04-01,-160,11.5,-3.182458402
2003-08-01,-118.5,33,-3.180505914
2011-06-01,-158.5,17,-3.180505562
2003-07-01,-157,23.5,-3.180456445
2005-04-01,-155.5,5,-3.180171709
2011-12-01,-155,-11,-3.179944804
2007-12-01,-82,24,-3.178162975
2006-10-01,-122,29.5,-3.176308514
2008-10-01,-118.5,25.5,-3.176089177
2007-02-01,-148,-15.5,-3.175967902
2008-06-01,-156,21,-3.174360993
2004-07-01,-130.5,49.5,-3.174360993
2007-02-01,-141,-7,-3.174360993
2003-02-01,-155,17.5,-3.174360993
2003-02-01,-146.5,6,-3.174360993
2003-12-01,-116,8.5,-3.174360993
2010-10-01,-135.5,6.5,-3.174360993
2012-05-01,-159,14,-3.174360993
2001-10-01,-111,23,-3.174360993
2001-10-01,-116,28,-3.174360976
2003-12-01,-112.5,13.5,-3.174360969
2002-08-01,-124.5,46.5,-3.174360859
2007-12-01,-123,8.5,-3.174360739
2005-12-01,-118.5,12,-3.174360141
2003-11-01,-110.5,26,-3.174359577
2001-11-01,-86,7,-3.174357687
2003-04-01,-143,1,-3.174356919
2005-05-01,-156.5,10,-3.174356343
2004-08-01,-125.5,40.5,-3.17433233
2006-04-01,-157.5,4,-3.174314782
2003-11-01,-110.5,23,-3.174232475
2001-10-01,-109,24.5,-3.174218702
2005-03-01,-156.5,16,-3.174026706
2004-12-01,-115.5,15.5,-3.173761516
2002-08-01,-125,47,-3.17329454
2006-04-01,-159,17,-3.173190874
2004-01-01,-151,-17,-3.172908638
2010-05-01,-81.5,24,-3.172803829
2002-12-01,-115,17.5,-3.172320862
2011-10-01,-130,14.5,-3.172190708
2011-03-01,-155,15.5,-3.170834823
2004-12-01,-136.5,-8,-3.169019665
2005-04-01,-155.5,8,-3.168394271
2004-10-01,-121,29.5,-3.168138079
2002-08-01,-125.5,48.5,-3.167541267
2001-11-01,-89,7,-3.166838676
2001-12-01,-88,3.5,-3.165382095
2010-11-01,-158,18,-3.162272451
2004-01-01,-150,-17,-3.161387704
2003-12-01,-136.5,-7.5,-3.161273584
2009-03-01,-142.5,0,-3.160620494
2003-03-01,-140.5,-5.5,-3.159639487
2008-07-01,-70,40.5,-3.159379282
2006-02-01,-147,-15,-3.159207639
2007-03-01,-143,0,-3.159105328
2006-12-01,-113,15,-3.158751756
2005-09-01,-118,33,-3.157130217
2017-08-01,-9,42,-3.155752965
1999-07-01,-70,42,-3.15490196
1999-07-01,-63,44,-3.15490196
1998-07-01,-70,42.5,-3.15490196
2010-04-01,-68.5,20,-3.15490196
1999-10-01,-67,42.5,-3.15490196
1999-07-01,-67.5,42,-3.15490196
2011-06-01,-83,25.5,-3.154901003
2002-11-01,-108.5,21.5,-3.154892736
2011-05-01,-84.5,26,-3.154887582
2010-03-01,-59,19.5,-3.154494617
2011-04-01,-115.5,-26.5,-3.154092002
2002-11-01,-109.5,24,-3.153017711
2008-12-01,-80.5,19,-3.152590011
2005-07-01,-157.5,21,-3.14898003
