rivers,lat,lon, low, Mid, up
Agno,16.1,120.2,68.32 ,142.19 ,257.85 
Osse,44.3,0.2,76.64 ,135.74 ,221.21 
Inderagiri,-0.4,103.6,64.25 ,132.07 ,238.88 
Brahmani,20.6,86.8,68.94 ,130.21 ,223.53 
Ca,18.6,106.4,61.44 ,125.97 ,227.02 
Seine,49,2.3,14.68 ,125.76 ,351.57 
Mé,48.7,-4.2,70.74 ,123.77 ,199.27 
Luni,24.2,70.3,64.82 ,122.45 ,210.84 
Papaloapán,18.3,-95.9,44.64 ,122.26 ,245.77 
Thames,51.5,0.1,9.39 ,121.66 ,422.84 
Reventazon,10,-83.8,38.52 ,121.28 ,254.25 
Khlong Phum Duang,8.8,99.4,48.85 ,120.82 ,236.02 
Luanhe,39.2,118.8,49.08 ,120.06 ,232.75 
Santee,33.2,-79.5,11.92 ,120.04 ,357.24 
Ulua,15.7,-87.5,62.94 ,117.37 ,199.13 
Indus,24,67,64.37 ,115.26 ,189.29 
Mira,40.4,-7.8,47.88 ,115.01 ,220.36 
Kolyma,69.6,161,46.95 ,114.87 ,222.69 
Kaoping,22.7,120.5,45.64 ,112.22 ,217.96 
Kelani Ganga,6.9,79.9,41.66 ,112.09 ,224.02 
Capim,-1.5,-49.9,44.67 ,111.96 ,219.07 
Motagua,15.7,-88.6,58.45 ,111.90 ,194.05 
Coco,13.5,-83.7,60.14 ,111.37 ,188.58 
Ishikari,43.2,141.3,11.97 ,110.80 ,316.08 
Perak,4.2,100.6,32.82 ,109.21 ,232.73 
Maipo,-33.6,-71.6,22.03 ,108.84 ,256.06 
Grande de Matagalpa,12.7,-85.8,55.20 ,106.73 ,186.19 
Cauweri,10.8,79.8,56.04 ,105.70 ,182.66 
Weihe,34.4,109,42.42 ,104.71 ,201.97 
Connecticut,41.3,-72.6,10.31 ,102.78 ,307.05 
Jianjiang,23.1,116.4,41.86 ,102.43 ,198.18 
Verde,33.4,-110.7,55.86 ,101.19 ,169.08 
Ma,18.7,105.8,48.25 ,99.78 ,180.57 
Mersey,53.5,-3,7.96 ,99.64 ,349.32 
Merrimack,42.8,-70.8,9.88 ,98.53 ,294.77 
Don,47.2,39,40.50 ,98.03 ,189.99 
Trent,53,-0.7,7.67 ,97.24 ,335.86 
Huanghe,37.7,119.1,39.52 ,96.20 ,187.22 
Mahakam,-0.5,117.3,46.87 ,96.17 ,173.30 
Kiso,35,136.8,10.40 ,95.37 ,271.29 
Tone,35.7,140.9,10.51 ,94.84 ,269.76 
Ems,53.3,7.1,8.72 ,93.66 ,288.74 
Bicol,13.6,123.3,44.60 ,92.42 ,167.31 
Ribeira do Iguape,-24.7,-47.6,36.40 ,91.86 ,180.32 
Langat,2.8,101.6,27.54 ,91.09 ,194.30 
Yalujiang,39.9,124.3,36.65 ,89.84 ,174.16 
Neveri,10.1,-64.6,48.20 ,89.26 ,151.05 
Jiulongjiang,24.4,118.1,35.98 ,88.46 ,171.85 
Jinjiang,24.8,118.6,35.76 ,87.99 ,170.03 
Kelantan,6.2,102.2,25.97 ,86.87 ,184.98 
Sacramento,38.6,-121.5,8.58 ,86.51 ,257.63 
Bia,5.1,-3.1,48.30 ,84.53 ,136.58 
Tanjiang,23.1,114.5,34.34 ,83.76 ,161.82 
Barito,-3.3,114.8,40.71 ,83.65 ,150.76 
Trinity,30,-94.4,8.15 ,83.50 ,247.64 
Loire,47.2,-1.8,9.61 ,83.14 ,232.13 
Pahang,3.4,103.4,25.05 ,82.81 ,176.51 
Altamaha,31.4,-81.4,8.32 ,81.45 ,244.88 
Tsengwen,23,120.2,33.17 ,81.12 ,156.85 
Sanaga,3.6,9.7,44.84 ,80.02 ,131.64 
Colville,70.4,-151.1,8.08 ,79.54 ,237.73 
Sepik,-3.6,143.6,44.64 ,79.44 ,130.16 
Khatanga,73.4,102.5,32.65 ,78.96 ,152.40 
Grijalva,18.1,-93,28.38 ,77.87 ,155.84 
Oder,53.5,14.5,12.59 ,77.01 ,192.59 
Santiago,-2,-79.9,28.14 ,76.54 ,154.58 
Kampar,0.6,101.2,37.20 ,76.49 ,137.43 
Wu,25.3,110.2,31.24 ,76.49 ,148.10 
Tachia,24.5,120.7,30.88 ,76.15 ,148.22 
Atrato,8.7,-77.4,31.84 ,75.88 ,145.74 
Davai,7.2,125.5,36.30 ,75.21 ,136.48 
Mae Klong,13.4,99.9,30.45 ,74.91 ,146.35 
Cavally,4.7,-7.5,42.98 ,74.34 ,118.73 
Bharathpuzha,10.8,76,38.91 ,73.94 ,126.62 
Rewa,-18.1,178.5,7.44 ,72.82 ,216.76 
St. Paul,6.3,-10.3,41.52 ,71.58 ,114.48 
Shinamo,35.5,135.9,8.01 ,71.23 ,206.25 
Agneby,5.8,-4,39.58 ,69.24 ,111.72 
Balsas,17.8,-101.2,24.81 ,67.99 ,136.70 
Cudijung,-6.7,106.3,32.87 ,67.72 ,121.45 
Itajai-ácu,-26.9,-48.7,26.80 ,67.55 ,132.94 
Drini,42,19.5,22.91 ,67.32 ,138.01 
Kuban,45.1,38.7,26.87 ,65.95 ,127.03 
Bio Bio,-36.8,-73,13.24 ,65.88 ,155.31 
Garonne,44.8,-1,7.78 ,65.16 ,181.08 
Potomac,38.3,-77,6.30 ,64.77 ,193.03 
Moa,20.7,-78.7,37.20 ,64.40 ,102.45 
Thu-Bon,15.9,108.2,31.43 ,64.23 ,115.65 
Panuco ,22.248,-97.802,23.52 ,64.16 ,129.05 
