rivers,lat,lon, low, Mid, up
Dayanghe,42.9,124.3,4.80 ,11.72 ,22.72 
Sixaola,9.6,-82.6,3.75 ,11.67 ,24.39 
Baram,4.6,113.8,3.43 ,11.67 ,24.79 
Pojuca,-12.7,-38.3,4.58 ,11.67 ,22.82 
Pascogoula,30.4,-88.6,1.15 ,11.67 ,34.80 
Bashee,22,121.9,5.61 ,11.61 ,21.04 
Volturno,41,13.9,1.61 ,11.60 ,30.47 
Yenshui,23,120.2,4.72 ,11.57 ,22.38 
Cayapas,1,-79.8,6.28 ,11.46 ,19.19 
Kuzuryo,36.5,138.5,1.26 ,11.41 ,32.66 
Pyasina,73.3,86.2,4.64 ,11.23 ,21.70 
Murung,1.2,114.6,5.46 ,11.23 ,20.25 
Mzymta,43.6,39.5,4.62 ,11.22 ,21.68 
Llobregat,41.3,2.2,1.41 ,11.16 ,30.09 
Litani,33.3,35.5,4.48 ,11.16 ,21.78 
Aguan,15.6,-86,5.99 ,11.11 ,18.89 
Chowan,36,-76.7,1.09 ,11.08 ,33.28 
Abulug,18.5,121.5,5.34 ,11.07 ,20.05 
Arno,43.8,10.2,1.52 ,11.05 ,28.91 
Guadiana,37,-7.4,2.11 ,11.02 ,26.26 
Selawik,66.6,-160,1.09 ,11.01 ,33.15 
Semegal,15.6,-16.6,6.19 ,10.87 ,17.64 
Sagavanirktok,70.4,-147.7,1.10 ,10.81 ,32.26 
Strimonas,40.8,23.7,1.68 ,10.79 ,27.26 
Iwaki,37,140.9,1.18 ,10.76 ,30.75 
Vijose,40.8,20,3.58 ,10.60 ,21.68 
Milk,48.4,-106.5,4.65 ,10.58 ,19.95 
Paz,13.9,-91.4,5.33 ,10.57 ,18.65 
Itapecuru,-3,-43.2,4.17 ,10.52 ,20.55 
Bengo,-8.5,13.4,6.05 ,10.52 ,16.82 
Choctawhatchee,30.3,-85.6,1.04 ,10.51 ,31.46 
Taura,-2.3,-79.7,5.70 ,10.33 ,17.34 
Suwannee,29.5,-83,1.00 ,10.29 ,30.73 
Kennebeck,44.5,-69.8,1.02 ,10.27 ,30.53 
Corubal,11.7,-15.6,5.92 ,10.25 ,16.41 
Chehalis,46.7,-123.6,1.02 ,10.21 ,30.36 
Don Diego,11.2,-73.6,4.26 ,10.21 ,19.66 
Dniester,46.4,30.4,5.58 ,10.20 ,16.97 
Itata,-36.4,-72.8,2.03 ,10.06 ,23.58 
Tocuyo,10,-69.7,5.41 ,9.99 ,16.89 
Sewa,7.8,-11.3,5.79 ,9.98 ,15.85 
Gangavati,15.4,76.5,5.27 ,9.97 ,17.19 
Deduru Oya,7.6,79.9,3.72 ,9.95 ,19.94 
Bhadar,21.7,70.2,5.26 ,9.94 ,17.12 
Suriname,5.9,-55.2,5.59 ,9.85 ,16.04 
Fraser,49.3,-123.1,0.95 ,9.83 ,29.58 
Agus,8.3,124.3,4.71 ,9.82 ,17.79 
Palar,12.2,80.3,5.16 ,9.80 ,16.98 
Oum Er Rbia,33.3,-8.9,4.99 ,9.74 ,17.12 
Diep,51,3.4,4.65 ,9.71 ,17.61 
Itapemirim,-21,-40.8,3.81 ,9.68 ,18.92 
Brazos,29.1,-95,0.94 ,9.59 ,28.50 
Munim,-2.9,-43.4,3.77 ,9.58 ,18.80 
Skagit,48.5,-122.4,0.96 ,9.57 ,28.80 
Estero Real,12.9,-87,4.92 ,9.56 ,16.61 
Acaraú,-3,-40,3.77 ,9.55 ,18.87 
Changuinola,9.4,-82.6,3.13 ,9.51 ,19.79 
Kokem?njoki,61.5,22.3,0.98 ,9.51 ,28.23 
Narva,59.4,28.2,1.20 ,9.49 ,25.32 
Tra-Khuc,15.1,108.6,4.57 ,9.43 ,16.98 
Panai,3.4,98,4.57 ,9.40 ,16.84 
Umzimvubu,-31.6,29.3,4.47 ,9.31 ,16.83 
Tungkang,22.5,120.5,3.78 ,9.20 ,17.81 
Tsiribihina,-19.7,44.6,5.18 ,9.09 ,14.79 
Usk,51.6,-2.9,0.70 ,8.98 ,31.17 
Chishui,28.8,105.2,3.63 ,8.95 ,17.33 
Paragua?u,-12.6,-38.5,3.53 ,8.91 ,17.42 
Loukos,34.4,-5.7,4.55 ,8.88 ,15.60 
Vilaine,47.7,-2,1.02 ,8.88 ,24.70 
Gurupi,-1.4,-48.5,3.48 ,8.81 ,17.28 
Nanliuliang,40.8,117.6,3.59 ,8.79 ,16.94 
Lee,53.2,-6.3,0.78 ,8.71 ,27.37 
Cobre,8.8,-79.5,3.80 ,8.66 ,16.36 
Hualien,23.9,121.6,3.50 ,8.59 ,16.65 
Kalinadi,27.4,84.2,4.53 ,8.55 ,14.72 
Tauyo,45.4,141.5,3.52 ,8.55 ,16.50 
Vasa Barris,4.2,-55.5,3.37 ,8.54 ,16.84 
Kuzitrin,65.1,-165.7,0.81 ,8.50 ,25.32 
Nagavali,19.1,84,4.48 ,8.49 ,14.63 
Little Scarcies,9.9,-13.3,4.91 ,8.47 ,13.47 
Glomma,59.2,11.2,0.72 ,8.42 ,27.10 
Great Tenasserim,13.5,98.6,4.67 ,8.42 ,13.97 
Sharavati,14.1,74.6,4.40 ,8.38 ,14.41 
Coyolate,14,-91.2,4.39 ,8.38 ,14.57 
Dee,54.9,-3,0.83 ,8.38 ,24.99 
Kamchatka,56,159,3.46 ,8.37 ,16.24 
Hsiukuluan,23,121.5,3.41 ,8.34 ,16.21 
Besos,41.4,2.2,1.04 ,8.28 ,22.43 
Sabarmati,22.6,72.6,4.36 ,8.26 ,14.19 
Tuxpan ,21,-97.4,3.00 ,8.20 ,16.45 
Sambas,1.4,109.5,4.00 ,8.19 ,14.75 
Sa? Mateus,-18.7,-39.8,3.25 ,8.19 ,16.05 
San Joaquin,38,-121.5,0.82 ,8.15 ,24.05 
Johore,1.5,103.7,2.42 ,8.14 ,17.28 
Yarra,-37.8,144.9,0.74 ,8.12 ,25.31 
Moju,-1.8,-48.5,3.22 ,8.10 ,15.89 
Liaohe,40.7,122.2,3.29 ,8.07 ,15.66 
Piranhas,-9.2,-36.8,3.15 ,8.00 ,15.72 
Linpien,22.3,120.5,3.26 ,7.96 ,15.44 
Hellah,32,44,2.44 ,7.93 ,16.76 
Cebollati,-33.7,-53.9,2.30 ,7.89 ,16.86 
Da Nhim,11.7,108.3,3.83 ,7.83 ,14.18 
Nyong,3.5,9.8,4.38 ,7.81 ,12.89 
Cheongchun,36.5,127,0.89 ,7.81 ,22.12 
Rappahannock,38.3,-76.5,0.77 ,7.71 ,22.96 
Erhjen,23,120.3,3.14 ,7.64 ,14.78 
Cunene,-17.3,12.4,4.40 ,7.64 ,12.21 
Lobe,2.9,9.9,4.25 ,7.61 ,12.52 
Acheloos,38.3,21,1.13 ,7.58 ,19.29 
Save,-17.3,31.3,4.39 ,7.55 ,12.04 
Piave,45.5,12.6,1.03 ,7.55 ,19.78 
Kuparuk,70.3,-150,0.74 ,7.54 ,22.56 
Incomati,-25.3,32.8,4.35 ,7.54 ,12.04 
Ca?ar,-2.2,-79.2,4.13 ,7.52 ,12.61 
Samala,14.6,-91.7,3.91 ,7.48 ,12.93 
Peace,56.1,-122.5,0.75 ,7.45 ,22.39 
Guanajibo,18,-67.2,0.73 ,7.42 ,22.09 
Wye,51.2,0.9,0.58 ,7.40 ,25.60 
Seumjin,35,127.3,0.86 ,7.40 ,20.68 
Mendawai,-3,112.6,3.57 ,7.31 ,13.17 
Shannon,52.7,-9,0.68 ,7.31 ,22.72 
San Pablo,-2.4,-79.3,2.37 ,7.21 ,14.89 
Portoviejo,-1,-80.5,3.95 ,7.19 ,12.06 
Penobscot,44.2,-68.8,0.72 ,7.16 ,21.48 
Nelson,57,-94.8,0.69 ,7.16 ,21.59 
Ponnaiyar,11.6,79.8,3.76 ,7.15 ,12.29 
Sampara,-3.8,122,3.47 ,7.09 ,12.74 
Iyidere,41,40.9,2.29 ,7.05 ,14.63 
Amguema,67,170.9,2.91 ,7.03 ,13.54 
Wadi Ghoweibba,29,34,3.41 ,7.03 ,12.69 
Exe,50.7,-3.5,0.55 ,7.02 ,24.24 
Potzu,23.4,120.4,2.84 ,6.95 ,13.49 
Limpopo,-25,32.7,3.96 ,6.89 ,10.96 
Konkoure,10,-14.2,3.96 ,6.87 ,10.98 
Khroma,70.5,147.3,2.82 ,6.83 ,13.19 
Saint John's,17.1,-61.8,0.67 ,6.79 ,20.29 
St. John,17.1,-61.8,3.84 ,6.67 ,10.58 
Tees,54.6,-1.1,0.51 ,6.64 ,22.82 
Walawe Ganga,6,80.6,2.47 ,6.61 ,13.17 
Escambia,30.6,-87.2,0.66 ,6.60 ,19.77 
Actopán,19.5,-96.6,2.37 ,6.54 ,13.16 
Zohreh,29.7,50,2.03 ,6.52 ,13.75 
Lielupe,56.9,23.8,1.45 ,6.49 ,14.78 
Kul,36.5,57.1,2.01 ,6.45 ,13.58 
Majiahe,37.3,115.7,2.64 ,6.44 ,12.50 
Guadalquivir,36.8,-6,0.81 ,6.42 ,17.38 
Pardo,-21.6,-48.4,2.51 ,6.40 ,12.53 
Utukok,70,-162,0.65 ,6.38 ,18.92 
Androscoggin,43.7,-70.2,0.63 ,6.23 ,18.65 
Cuyuni,6.3,-58.6,3.23 ,6.23 ,10.84 
K?prü,40,31.2,2.00 ,6.19 ,12.83 
Vamsadhara,18.3,84.5,3.24 ,6.18 ,10.65 
Melet,47.5,37,1.99 ,6.17 ,12.84 
Peinan,22.8,121.2,2.53 ,6.17 ,12.00 
Wadi Nugaal,9.5,49,3.58 ,6.13 ,9.68 
Sebou,34.3,-6,3.13 ,6.13 ,10.77 
Lurio,-12,40.6,3.54 ,6.12 ,9.74 
Pulau,-6.3,106.9,3.44 ,6.11 ,10.03 
Mesuji,-4.3,105.3,2.93 ,6.07 ,10.98 
Kelik,0.1,110.5,0.60 ,6.06 ,18.12 
Umfolozi,-28.4,32.2,2.90 ,6.01 ,10.87 
Mangoro,-18.5,49.6,3.39 ,6.00 ,9.75 
Tamesi,22.5,-98.5,2.17 ,5.98 ,11.98 
Endau,2.6,103.6,1.78 ,5.96 ,12.67 
Rushikulya,19.4,85.1,3.11 ,5.92 ,10.21 
Chone,-0.7,-80.4,3.22 ,5.88 ,9.80 
Petch,16,100,2.37 ,5.88 ,11.40 
Avon,51.5,-2.6,0.45 ,5.85 ,20.48 
Kola,68.9,33.6,2.40 ,5.85 ,11.32 
Tokachi,42.8,143.2,0.64 ,5.83 ,16.64 
Demerara,6.8,-58.2,3.00 ,5.79 ,10.08 
Mucuri,-18.1,-39.6,2.28 ,5.76 ,11.24 
Luala,-8.6,121.7,3.31 ,5.73 ,9.15 
Guapi,2.5,-77.9,2.37 ,5.69 ,10.95 
Lofa,7.8,-10,3.29 ,5.67 ,9.05 
Orange,-28.6,16.5,2.72 ,5.66 ,10.21 
Umhlantuzi,-28.7,31.9,2.71 ,5.63 ,10.20 
Liri,41.4,13.8,0.79 ,5.60 ,14.66 
Barranca,20.1,-98.2,1.77 ,5.58 ,11.65 
Penner,14,81.7,2.92 ,5.53 ,9.54 
Hii,35.4,132.8,0.60 ,5.49 ,15.68 
Unare,10.2,-65.1,2.94 ,5.46 ,9.21 
Velikaya,57,28.4,2.22 ,5.44 ,10.48 
Sebaou,36.8,4.3,2.16 ,5.39 ,10.44 
Pinios,39.7,22.6,0.82 ,5.35 ,13.58 
Mharhar,18.7,73.2,2.73 ,5.35 ,9.42 
Kymijoki,60.5,26.8,0.54 ,5.35 ,15.87 
Kavik,69.7,-147.7,0.54 ,5.31 ,15.81 
Omoloy,71.7,136.2,2.14 ,5.23 ,10.10 
Galana,-2.9,39.7,2.87 ,5.23 ,8.75 
Ameca,20.8,-105,1.89 ,5.20 ,10.47 
Casamance,12.7,-16.6,2.95 ,5.17 ,8.35 
Soumman,36.7,3.8,2.09 ,5.17 ,10.07 
Deba,43.3,-2.4,0.65 ,5.15 ,13.94 
Kukpuk,68.3,-165.6,0.53 ,5.12 ,15.40 
Kokulik,67.6,-165.9,0.51 ,5.12 ,15.34 
Nene,52.6,-0.3,0.39 ,5.11 ,17.63 
Berbice,6.2,-57.3,2.64 ,5.07 ,8.80 
Venta,57.4,21.2,1.16 ,5.04 ,11.50 
Yenisei,70.2,86,2.05 ,5.00 ,9.62 
Turia?o,-1.6,-45.4,1.98 ,5.00 ,9.78 
Barrow,71.3,-155,0.45 ,4.93 ,15.27 
Sesjab,42.5,20.3,2.40 ,4.93 ,8.91 
Jaba,-6.7,106.9,2.76 ,4.89 ,8.01 
Coporolo,-14.6,12.3,2.80 ,4.86 ,7.77 
Groot Berg,-19.7,14.2,2.34 ,4.86 ,8.77 
Canning,70,-145.6,0.46 ,4.75 ,14.10 
Edisto,32.5,-80.5,0.46 ,4.72 ,14.18 
Gambia,13.5,-16.5,2.67 ,4.64 ,7.45 
Tugur,52.3,137,1.93 ,4.62 ,8.97 
Breede,-34.4,20.3,2.23 ,4.59 ,8.33 
Mbemkuru,-10,39.3,2.57 ,4.56 ,7.47 
Hutt,-28.5,114.7,0.46 ,4.55 ,13.31 
Suir,52.2,-7.6,0.41 ,4.52 ,13.97 
Essequibo,6.5,-58.5,2.34 ,4.49 ,7.84 
Apodi,-5.1,-37.3,1.76 ,4.45 ,8.77 
Ogeechee,31.9,-81.1,0.44 ,4.45 ,13.29 
Longa,-9,13.3,2.55 ,4.43 ,7.09 
Omotepec,16.5,-98.3,1.60 ,4.43 ,8.88 
Koyuk,64.9,-161.2,0.43 ,4.41 ,13.14 
Jong,8.6,-12.3,2.54 ,4.41 ,7.01 
Goumo,10.1,9.5,0.47 ,4.39 ,12.62 
Oria,40.6,13,0.56 ,4.37 ,11.86 
Umkomazi,-29.9,30.8,2.11 ,4.37 ,7.94 
Tabasara,8,-81.3,1.43 ,4.36 ,9.00 
Santa,-9.1,-78.6,1.78 ,4.35 ,8.43 
Corantijin,5.9,-57.1,2.26 ,4.35 ,7.56 
Umvoti,-29.2,31.2,2.11 ,4.35 ,7.83 
Bayano,9,-78.3,1.40 ,4.26 ,8.83 
Kadalundi,11.2,75.8,2.24 ,4.23 ,7.26 
Wadi Zabid,14.2,43.2,2.42 ,4.21 ,6.71 
Presido,29.5,-104.3,1.53 ,4.20 ,8.41 
Yura,38.7,140.2,0.45 ,4.19 ,11.96 
Bradano,40.5,16.7,0.57 ,4.17 ,10.91 
Kuloy,64.2,44.1,1.71 ,4.17 ,8.07 
Ter,42,2.6,0.53 ,4.15 ,11.23 
Saco,43.5,-70.4,0.40 ,4.15 ,12.30 
Reno,44.5,11,0.57 ,4.14 ,10.84 
Kalamas,39.7,20.3,0.62 ,4.14 ,10.49 
Fish Creek,70.2,-156.8,0.41 ,4.13 ,12.36 
Maputo,-25.9,32.6,2.36 ,4.08 ,6.50 
Mahuri,23.2,86.9,0.48 ,4.07 ,11.30 
Lena,72.4,129.9,1.66 ,4.04 ,7.82 
Shou,24.8,118.6,0.46 ,4.03 ,11.53 
Umpqua,43.7,-124.2,0.39 ,4.03 ,12.06 
Charente,45.8,-0.9,0.46 ,4.01 ,11.24 
Swakop,-22.7,14.5,2.09 ,3.99 ,6.91 
Colorado,32.7,-114.7,0.39 ,3.95 ,11.84 
M'Bridge,36.3,2.3,2.27 ,3.94 ,6.30 
Toa,20.2,-75,1.38 ,3.89 ,7.88 
Hoping,24,121.7,1.57 ,3.88 ,7.53 
Pegtymel,69,173.5,1.60 ,3.88 ,7.51 
Chuk-ochy,70,166.5,1.60 ,3.88 ,7.52 
Néstos,40.9,24.7,0.59 ,3.86 ,9.83 
Ponoy,66,38.4,1.58 ,3.85 ,7.43 
Nychcha,64,128.5,1.58 ,3.84 ,7.43 
Magra,44,9.9,0.55 ,3.83 ,10.02 
Damuji,22.3,-81.1,1.38 ,3.82 ,7.70 
Okhota,59.4,143.2,1.55 ,3.77 ,7.29 
Calleguas,34.2,-119.1,0.38 ,3.73 ,11.12 
Pungue,-19.2,34.9,2.14 ,3.73 ,5.94 
Kongakut,69.7,-141.1,0.37 ,3.71 ,11.16 
Meluli,-6.9,38.2,2.14 ,3.69 ,5.90 
Geba,12.1,-15.6,2.11 ,3.68 ,5.91 
Uele,4.3,24.3,1.52 ,3.66 ,7.09 
Erne,54.5,-7.3,0.34 ,3.66 ,11.38 
Imya,45.5,132.5,1.50 ,3.65 ,7.09 
Berau,2.2,118.2,1.77 ,3.65 ,6.59 
Besaya,43.4,-4,0.44 ,3.59 ,9.77 
Ruvu,-6.9,39.1,1.87 ,3.59 ,6.22 
Kumano,33.7,135.8,0.38 ,3.58 ,10.26 
Great Scarcies,9,-13.1,2.05 ,3.55 ,5.65 
Goascoran,13.2,-87.5,1.78 ,3.55 ,6.25 
Itanhem,-17.5,-39.2,1.40 ,3.55 ,6.98 
Gizhiga,61,156,1.47 ,3.54 ,6.84 
Fuji,35.2,138.6,0.39 ,3.54 ,10.12 
Somme,50.2,2.3,0.42 ,3.53 ,9.88 
Coahuayana,18.5,-103.6,1.28 ,3.51 ,7.04 
Ramu,-4.2,145.7,1.97 ,3.50 ,5.76 
Niva,61.8,30.8,1.43 ,3.48 ,6.72 
Bristol Avon,51.5,-2.7,0.26 ,3.46 ,12.01 
Jucururu,-10.7,-37,1.35 ,3.43 ,6.72 
Tigil,57.8,158.6,1.40 ,3.38 ,6.56 
Tigil,57.8,158.6,1.39 ,3.38 ,6.55 
Pangani,-5.4,39,1.77 ,3.36 ,5.81 
Ochlockonee,30,-84.5,0.33 ,3.35 ,10.05 
Great Kei,-32.7,28,1.62 ,3.34 ,6.07 
Contas,-13.8,-39.3,1.32 ,3.34 ,6.54 
Mazafran,36.8,2.6,1.35 ,3.31 ,6.44 
Umtamvuna,-31.1,30.2,1.59 ,3.30 ,5.97 
Chira,-4,-80.5,1.36 ,3.30 ,6.37 
Tumenjiang,42.4,130,1.35 ,3.29 ,6.38 
Bhari,28.6,77.3,1.83 ,3.27 ,5.42 
Jokulsa a Fjollum,66.3,-16.6,0.30 ,3.26 ,9.99 
Gauja,57.1,24.4,0.74 ,3.25 ,7.38 
Chéliff,36.1,1.3,1.30 ,3.22 ,6.25 
Arecibo,18.5,-66.7,0.32 ,3.19 ,9.60 
Bidasoa,43.4,-1.8,0.41 ,3.19 ,8.70 
Wadi Mawr,15.5,43.5,1.81 ,3.16 ,5.06 
Chorokhi,41.6,41.6,1.10 ,3.15 ,6.41 
Waringin,-7,112.8,1.52 ,3.11 ,5.59 
Majardah,37.1,10.1,1.57 ,3.09 ,5.44 
Mellah,36.5,6.9,1.58 ,3.08 ,5.40 
Porali,25.6,66.7,1.71 ,3.06 ,5.05 
Loge,-8.8,13.2,1.76 ,3.05 ,4.87 
Satilla,31,-81.5,0.30 ,3.05 ,9.05 
Var,43.7,7.2,0.35 ,2.99 ,8.35 
Wadi el Arish,31.1,33.8,1.46 ,2.99 ,5.37 
Boyne,53.7,-6.2,0.27 ,2.98 ,9.22 
Tumbes,-3.6,-80.4,1.22 ,2.98 ,5.76 
San Pedro,18.2,-102.2,1.08 ,2.98 ,5.98 
Luga,59.1,29.7,1.22 ,2.97 ,5.74 
Kukpowruk,69.4,-162.9,0.29 ,2.93 ,8.74 
Tensift,31.5,-8.6,1.48 ,2.91 ,5.11 
Mananjary,-21.2,48.3,1.64 ,2.90 ,4.72 
Camaquá,-30.9,-52.8,1.13 ,2.85 ,5.59 
Ntem,2.3,9.8,1.59 ,2.84 ,4.66 
San Diego Creek,33.7,-117.8,0.27 ,2.82 ,8.36 
Rauchua,63.5,171.3,1.15 ,2.80 ,5.42 
Don,47.2,39,0.27 ,2.79 ,8.30 
Vellar,11.4,79.8,1.47 ,2.78 ,4.79 
Apuko,27.7,78.1,1.14 ,2.77 ,5.38 
Mangoky,-21.3,43.7,1.55 ,2.75 ,4.46 
Tuloma,69.2,32.9,1.13 ,2.75 ,5.29 
Bou Regreg,34,-6.8,1.40 ,2.74 ,4.80 
Crati,39.4,16.5,0.37 ,2.74 ,7.22 
Wadi Bana,14.2,46.1,1.57 ,2.74 ,4.38 
Lune,54.1,-2.8,0.27 ,2.73 ,8.02 
Nyanga,-2.6,10,1.30 ,2.73 ,4.95 
Ulbeya,44.5,141,1.11 ,2.71 ,5.26 
Aliakmon,40.2,22.7,0.40 ,2.69 ,6.82 
Kocabas,40.1,26.7,0.88 ,2.69 ,5.59 
Eel,39.4,-124.3,0.27 ,2.68 ,8.06 
Teith,56.2,-4.3,0.27 ,2.68 ,7.99 
Wami,-5.4,38.8,1.39 ,2.67 ,4.62 
Klamath,41.5,-124.1,0.26 ,2.67 ,7.93 
Waimakariri,-43.4,172.6,0.27 ,2.65 ,7.74 
Huixtla,15,-92.5,0.96 ,2.65 ,5.32 
Saguenay,48.3,-70.9,0.26 ,2.61 ,7.79 
Wadi al Hamd,24.6,39.1,0.50 ,2.59 ,6.16 
Jaguaribe,-4.8,-37.7,1.02 ,2.58 ,5.07 
Sapgyo,36.6,126.5,0.30 ,2.57 ,7.24 
Nekor,35.1,-4.3,1.30 ,2.55 ,4.48 
Gallikos,40.6,22.9,0.39 ,2.54 ,6.50 
Herault,43.4,3.7,0.29 ,2.54 ,7.12 
Barumun,1,99.2,1.23 ,2.54 ,4.59 
Blackwater,51.8,-1,0.24 ,2.54 ,7.86 
Cacheu,12.3,-16.2,1.44 ,2.51 ,4.04 
Churo,-6.2,116.4,0.99 ,2.50 ,4.92 
Tagliamento,45.7,13.1,0.35 ,2.50 ,6.54 
Gundlakamma,15.6,80.1,1.32 ,2.50 ,4.31 
York,34.2,-76.5,0.25 ,2.46 ,7.31 
Polyavaam,60.5,145.8,1.00 ,2.45 ,4.73 
Culiacan,24.8,-107.5,0.90 ,2.44 ,4.93 
Manawatu,-40.3,175.6,0.26 ,2.44 ,7.07 
Kogon,39.7,64.8,1.40 ,2.43 ,3.90 
Santa Lucia,33.2,-8.4,0.71 ,2.41 ,5.16 
Xiaolinghe,36.1,116.7,0.98 ,2.40 ,4.63 
Matandu,-10.3,39.2,1.33 ,2.36 ,3.87 
Teshio,45.1,141.7,0.25 ,2.36 ,6.81 
Madre Vieja,15.4,-92.7,1.22 ,2.35 ,4.08 
Kalar,36.5,44.1,0.72 ,2.33 ,4.91 
Seybousse,35.9,7.3,0.93 ,2.32 ,4.49 
Segura,37.6,-1.5,0.28 ,2.29 ,6.22 
Towry,56.5,-4.9,0.23 ,2.28 ,6.78 
Drammenselva,59.7,10.2,0.20 ,2.28 ,7.36 
Buzi,-19.9,34.5,1.32 ,2.28 ,3.65 
Tamraparni,8.8,77.5,1.20 ,2.28 ,3.94 
Argens,43.4,6.1,0.26 ,2.28 ,6.34 
Pakhacha,48.6,36.2,0.94 ,2.27 ,4.41 
Ketanda,-4.3,19.5,0.93 ,2.27 ,4.37 
Yarcon,32.1,35.1,0.27 ,2.27 ,6.36 
Moy,54.1,-4.2,0.21 ,2.25 ,7.01 
Monapo,-15.1,40.7,1.29 ,2.24 ,3.57 
Eden,54.4,-3.5,0.23 ,2.21 ,6.60 
Ashburton,-22.5,117.8,0.23 ,2.20 ,6.44 
Takhoyams,50,-1.6,0.90 ,2.18 ,4.20 
Punta Gorda,14.4,-83.8,1.12 ,2.17 ,3.78 
Welland,42.9,-79.2,0.17 ,2.16 ,7.52 
M'Lela,-0.5,40.5,1.24 ,2.16 ,3.44 
Angerman,63.2,17.9,0.20 ,2.16 ,6.59 
Tweed,55.3,-2.7,0.22 ,2.15 ,6.42 
Savio,44.1,12.6,0.29 ,2.13 ,5.53 
Marowijne,5.9,-54.6,0.25 ,2.10 ,5.86 
Mana,3.7,-52.3,0.25 ,2.10 ,5.87 
Hawkesbury,-33.6,151.2,0.19 ,2.09 ,6.59 
Harsit,40.9,39.1,0.68 ,2.09 ,4.31 
Ankobra,4.9,-2.2,1.13 ,2.06 ,3.45 
Simeto,37.7,14.7,0.28 ,2.04 ,5.33 
Rancheria,11.4,-72.8,0.84 ,2.02 ,3.88 
Aude,43.1,2.9,0.23 ,2.01 ,5.65 
Esino,43.6,1.2,0.28 ,2.00 ,5.20 
Pyr,18.6,-103.8,0.82 ,1.99 ,3.85 
Armeria,-2.2,114.5,0.73 ,1.99 ,4.01 
Kahajan,15.1,45.4,0.97 ,1.98 ,3.58 
Wadi Tuban,-12.3,13.2,1.15 ,1.98 ,3.17 
Dande,-2.6,48.5,1.14 ,1.98 ,3.18 
Dharror,63.4,-121.5,1.16 ,1.98 ,3.13 
Lenivaya,39.3,28.7,0.82 ,1.98 ,3.83 
Sele,59.1,15.3,0.27 ,1.97 ,5.16 
Skiensvassdraget,40.2,9.6,0.17 ,1.96 ,6.31 
Mokihinui,-41.6,171.8,0.21 ,1.96 ,5.74 
Elota,23.5,-106.5,0.71 ,1.95 ,3.92 
Tay,56.4,-2.4,0.20 ,1.95 ,5.81 
Tambo,-14.1,-69.2,0.77 ,1.95 ,3.81 
Maduru Oya,7.2,81.5,0.72 ,1.94 ,3.88 
Matigulu,-29.3,31.3,0.93 ,1.93 ,3.48 
Chillon,-12,-77.2,0.80 ,1.93 ,3.74 
Volta,5.9,-0.8,1.06 ,1.93 ,3.23 
Turia,39.5,-0.4,0.24 ,1.92 ,5.21 
Slupa,51.3,20.5,0.30 ,1.92 ,4.81 
Arenillas,-3.5,-80.1,1.05 ,1.92 ,3.21 
Merauke,-8.5,140.4,1.07 ,1.92 ,3.14 
Tuira,8.3,-77.7,0.62 ,1.87 ,3.88 
Skafta,64.2,-17.6,0.17 ,1.87 ,5.72 
G?ta alv,58.3,12,0.17 ,1.86 ,5.73 
Catumbela,-12.6,13.5,1.07 ,1.86 ,2.99 
Guantanamo,20.1,-75.2,0.66 ,1.85 ,3.73 
Pescara,42.5,14.2,0.26 ,1.84 ,4.84 
Silup,60.2,140.3,0.57 ,1.84 ,3.87 
Ioniveyem,66.4,173.1,0.76 ,1.84 ,3.56 
Oulujoki,65,24.6,0.19 ,1.82 ,5.40 
Onega,63.9,38.1,0.74 ,1.79 ,3.44 
Smith,-33.6,18.1,0.18 ,1.78 ,5.32 
Parsenta,54.3,16.5,0.28 ,1.77 ,4.43 
Clutha,-45.9,169,0.18 ,1.74 ,5.08 
Seputih,-5.3,105.4,0.85 ,1.74 ,3.13 
Slaney,52.6,-6.5,0.16 ,1.73 ,5.36 
Yukon,63.3,-140,0.17 ,1.72 ,5.14 
Serujan,-0.8,111.9,0.83 ,1.71 ,3.07 
Umba,-5.6,38.9,0.71 ,1.70 ,3.28 
Arachtos,39,20.9,0.25 ,1.69 ,4.30 
Agrioun,38.5,21.4,0.69 ,1.69 ,3.29 
El Fuerte,25.8,-108.7,0.62 ,1.69 ,3.41 
Jucar,39,-0.8,0.21 ,1.68 ,4.51 
Los Esclavos,14.3,-90.5,0.86 ,1.65 ,2.85 
Salso,37.1,14.4,0.22 ,1.63 ,4.31 
Negro,-32.7,-58,0.88 ,1.63 ,2.75 
Balao,-2,-80.3,0.89 ,1.61 ,2.70 
Ngaruroro,-39.4,176.9,0.17 ,1.60 ,4.67 
Wadi Masilah,15.4,48.1,0.30 ,1.59 ,3.78 
Siletz,44.7,-124,0.16 ,1.59 ,4.77 
George,-33.6,22.6,0.15 ,1.59 ,4.79 
Lariang,-1.4,120.3,0.75 ,1.53 ,2.77 
Bemarivo,-14.2,48.5,0.87 ,1.53 ,2.49 
Patahparang,-12.3,47.2,0.74 ,1.53 ,2.74 
Bristane,-4.5,-51,0.14 ,1.52 ,4.75 
Gal Oya,7.3,81.7,0.57 ,1.52 ,3.03 
Hab,25.8,65.5,0.85 ,1.52 ,2.50 
Mourne,54,-5.9,0.21 ,1.52 ,3.97 
Orb,44.1,1.6,0.18 ,1.51 ,4.22 
Mayo,12.5,-9.2,0.54 ,1.49 ,2.98 
Chancay,-11.7,-77.5,0.60 ,1.46 ,2.81 
