river_lat,river_lon,orig_lat_idx,orig_lon_idx,proj_lat_idx,proj_lon_idx,shift_grid,emission
34.4,109.0,56,54,50,54,6.0,104.71
41.3,-72.6,60,0,66,1,6.082762530298219,102.78
23.1,116.4,51,58,51,58,0.0,102.43
18.7,105.8,49,53,49,53,0.0,99.78
53.5,-3.0,66,0,67,0,1.0,99.64
42.8,-70.8,61,0,66,1,5.0990195135927845,98.53
47.2,39.0,63,19,72,19,9.0,98.03
53.0,-0.7,66,0,67,0,1.0,97.24
37.7,119.1,58,60,57,60,1.0,96.2
-0.5,117.3,39,59,39,59,0.0,96.17
35.0,136.8,57,68,57,69,1.0,95.37
35.7,140.9,57,70,57,70,0.0,94.84
53.3,7.1,66,4,67,3,1.4142135623730951,93.66
13.6,123.3,46,62,46,62,0.0,92.42
-24.7,-47.6,27,0,27,0,0.0,91.86
2.8,101.6,41,51,40,51,1.0,91.09
39.9,124.3,59,62,59,61,1.0,89.84
10.1,-64.6,44,0,43,1,1.4142135623730951,89.26
24.4,118.1,52,59,51,59,1.0,88.46
24.8,118.6,52,59,51,59,1.0,87.99
6.2,102.2,43,51,43,51,0.0,86.87
38.6,-121.5,59,0,66,1,7.0710678118654755,86.51
5.1,-3.1,42,0,42,0,0.0,84.53
23.1,114.5,51,57,50,57,1.0,83.76
-3.3,114.8,38,57,38,58,1.0,83.65
47.2,-1.8,63,0,66,1,3.1622776601683795,83.14
3.4,103.4,41,52,41,52,0.0,82.81
23.0,120.2,51,60,51,60,0.0,81.12
3.6,9.7,41,5,41,4,1.0,80.02
70.4,-151.1,74,0,72,0,2.0,79.54
-3.6,143.6,38,72,38,72,0.0,79.44
18.1,-93.0,48,0,43,1,5.0990195135927845,77.87
53.5,14.5,66,7,68,5,2.8284271247461903,77.01
-2.0,-79.9,39,0,39,0,0.0,76.54
0.6,101.2,40,51,40,51,0.0,76.49
25.3,110.2,52,55,50,56,2.23606797749979,76.49
24.5,120.7,52,60,53,60,1.0,76.15
8.7,-77.4,44,0,43,1,1.4142135623730951,75.88
7.2,125.5,43,63,43,63,0.0,75.21
13.4,99.9,46,50,45,50,1.0,74.91
4.7,-7.5,42,0,42,0,0.0,74.34
10.8,76.0,45,38,45,37,1.0,73.94
-18.1,178.5,31,89,31,89,0.0,72.82
6.3,-10.3,43,0,43,1,1.0,71.58
35.5,135.9,57,68,57,69,1.0,71.23
5.8,-4.0,42,0,42,0,0.0,69.24
17.8,-101.2,48,0,43,1,5.0990195135927845,67.99
-6.7,106.3,36,53,36,53,0.0,67.72
-26.9,-48.7,26,0,26,0,0.0,67.55
42.0,19.5,60,10,68,5,9.433981132056603,67.32
-36.8,-73.0,21,0,21,0,0.0,65.88
44.8,-1.0,62,0,66,1,4.123105625617661,65.16
38.3,-77.0,58,0,66,1,8.06225774829855,64.77
20.7,-78.7,50,0,43,1,7.0710678118654755,64.4
15.9,108.2,47,54,47,55,1.0,64.23
22.248,-97.802,50,0,43,1,7.0710678118654755,64.16
4.9,-6.2,42,0,42,0,0.0,63.75
21.8,87.5,50,44,50,44,0.0,63.11
11.2,75.8,45,38,45,37,1.0,62.6
55.0,21.1,67,11,68,5,6.082762530298219,62.16
21.7,72.6,50,36,49,35,1.4142135623730951,61.85
64.7,177.5,71,89,70,89,1.0,61.72
38.7,-9.1,59,0,66,1,7.0710678118654755,60.7
6.6,79.9,43,40,43,40,0.0,59.94
25.9,-99.0,52,0,43,1,9.055385138137417,59.5
55.9,-4.3,67,0,67,0,0.0,59.32
23.4,116.6,51,58,51,58,0.0,58.81
13.0,-88.6,46,0,43,1,3.1622776601683795,58.56
40.8,-74.1,60,0,66,1,6.082762530298219,56.94
19.0,-72.5,49,0,43,1,6.082762530298219,56.61
45.4,12.0,62,6,66,2,5.656854249492381,56.13
28.7,121.2,54,61,54,61,0.0,56.01
58.9,-157.5,69,0,69,0,0.0,55.62
4.0,9.7,41,5,41,4,1.0,54.61
9.2,-75.9,44,0,43,1,1.4142135623730951,54.42
23.8,120.5,51,60,51,60,0.0,54.0
-2.8,-41.8,38,0,38,0,0.0,53.82
15.3,-91.3,47,0,43,1,4.123105625617661,53.56
6.9,101.3,43,51,43,51,0.0,52.95
66.9,-157.2,73,0,72,0,1.0,52.42
-9.1,13.2,35,7,35,6,1.0,52.3
11.4,-83.7,45,0,43,1,2.23606797749979,51.66
10.6,106.7,45,53,44,53,1.0,50.94
2.1,112.1,41,56,41,55,1.0,50.89
16.4,81.5,48,41,48,41,0.0,49.91
